"id","rus","kaz"
"1","этнографическ","этнографиялық"
"2","этическ","этикалық"
"3","эстетическ","эстетикалық"
"4","эмоциональн","эмоциялық"
"5","электрическ","электр"
"6","экспериментальн","эксперименталды"
"7","экономическ","экономикалық"
"8","эфолюцион","эволюциялық"
"9","эвакуирован","эвакуацияланған"
"10","внутренн","ішкі"
"11","хмельн","ішкен"
"12","струнн","ішекті"
"13","припухл","ісінген"
"14","сделанн","істелген"
"15","безработн","іссіз"
"16","подобн","іспеттес"
"17","делов","іскер"
"18","вздут","іскен"
"19","гнойн","іріңді"
"20","отборн","іріктелген"
"22","фундаментальн","іргелі"
"23","соседн","іргелес"
"24","бисерн","інжулі"
"25","висящ","ілулі"
"26","внимательн","ілтипатты"
"27","худ","ілмиген"
"28","хватки","ілгір"
"29","вежлив","ізетті"
"30","заинтересованн","ізденген"
"31","благо","ізгі"
"32","ретив","іждағатты"
"33","горяч","ыстық"
"34","удачлив","ырысты"
"35","ритмичн","ырғақты"
"36","немелодичн","ырғақсыз"
"37","неудобн","ыңғайсыз"
"38","дружн","ынтымақты"
"39","инициативн","ынталы"
"40","удобн","ыңғайлы"
"41","непримирим","ымырасыз"
"42","влажн","ылғалды"
"43","достойн","лайықты"
"44","внимательн","ықыласты"
"45","вольн","ықтиярлы"
"46","влиятельн","ықпалды"
"47","морозн","ызғарлы"
"48","возмущенн","ызалы"
"49","раздражительн","ызақор"
"50","старательн","ыждағатты"
"51","гнил","шіріген"
"52","сочн","шырынды"
"53","спутанн","шырмалған"
"54","красив","шырайлы"
"55","истинн","шын"
"56","крепк","шымыр"
"57","нетерпелив","шыдамсыз"
"58","терпелив","шыдамды"
"59","жадн","шығымсыз"
"60","всхож","шығымды"
"61","впал","шүңірек"
"62","сомнительн","шүбәлі"
"63","бесшумн","шусыз"
"64","шумн","шулы"
"65","корот","шолақ"
"66","бодр","ширақ"
"67","целебн","шипалы"
"68","исчерканн","шимайланған"
"69","сыр","шикі"
"70","запутанн","шиеленіскен"
"71","раздет","шешінген"
"72","разрешим","шешілетін"
"73","решенн","шешілген"
"74","решающ","шешуші"
"75","красноречив","шешен"
"76","безграничн","шетсіз"
"77","крайн","шеткі"
"78","заграничн","шетелдік"
"79","предельн","шекті"
"80","ограниченн","шектелген"
"81","бесконечн","шексіз"
"82","пограничн","шекаралық"
"83","летописн","шежірелі"
"84","прибит","шегелі"
"85","искусн","шебер"
"86","рассеянн","шашыраңқы"
"87","рассыпчат","шашылған"
"88","волосат","шашты"
"89","бахромчат","шашақты"
"90","запутанн","шатысқан"
"91","восторженн","шаттанған"
"92","ущелист","шатқалды"
"93","квадратн","шаршы"
"94","утомительн","шаршататын"
"95","неутомим","шаршамайтын"
"96","утомленн","шаршаған"
"97","хозяйственн","шаруашылық"
"98","условн","шартты"
"99","договорн","шарттасқан"
"100","зарешеченн","шарбақталған"
"101","великодушн","шарапатты"
"102","быстр","шапшаң"
"103","лыжн","шаңғы"
"104","предполагаем","шамаланған"
"106","проворн","шалымды"
"107","болотн","шалшықты"
"108","заболоченн","шалшықтанған"
"109","стар","шалдыққан"
"110","шаловлив","шалдуар"
"111","халтурн","шалағай"
"112","зван","шықырылған"
"113","позывн","шақыратын"
"114","кремнев","шақпақты"
"115","смолист","шайырлы"
"116","прожеванн","шайналған"
"117","заносчив","шадыр"
"118","небольш","шағын"
"119","расколот","шағылған"
"120","отражающ","шағылыстыратын"
"121","вдохновенн","шабытты"
"122","нападающ","щабуылдаушы"
"123","рублен","шабылған"
"124","наступательн","шабуылдайтын"
"125","медлительн","шабан"
"126","цикличн","циклді"
"127","цифров","цифрлық"
"128","хронологическ","хронологиялық"
"129","хроникальн","хроникалық"
"130","хореографическ","хореографиялық"
"131","хлорист","хлорлы"
"132","химическ","химиялық"
"133","народн","халық"
"134","международн","халықаралық"
"135","безвестн","хабарсыз"
"136","уведомительн","хабарландыратын"
"137","осведомленн","хабардар"
"138","функциональн","функционалдық"
"139","фракционн","фракциялық"
"140","формальн","формалдық"
"141","фонетическ","фонетикалық"
"142","фонематическ","фонематикалық"
"143","философск","философиялық"
"144","филологическ","филологиялық"
"145","физкультурн","физкультуралық"
"146","физиологическ","физиологиялық"
"147","физическ","физикалық"
"148","феодальн","феодалдық"
"149","федеративн","федерациялық"
"150","фашистск","фашистік"
"151","фантастическ","фантастикалық"
"152","факультативн","факультативтік"
"153","фабричн","фабрикалық"
"154","остр","үшкір"
"155","верхн","үстіңгі"
"156","пуглив","үркек"
"157","экономн","үнемшіл"
"158","звучн","үнді"
"159","созвучн","үндес"
"160","молчалив","үндемес"
