Tue Dec 12 10:40:50 CET 2017
===============================================
POS	Total	Clean	With @	With #	Clean %
vblex	1148255	 1122298	0	25957	97.74
n	251917	 251881	0	36	99.98
adj	205179	 205179	0	0	100
np	9339	 9339	0	0	100
num	1193	 1193	0	0	100
det	1052	 1052	0	0	100
adv	544	 544	0	0	100
prn	395	 395	0	0	100
pr	77	 77	0	0	100
vbser	43	 43	0	0	100
cnjsub	13	 13	0	0	100
abbr	12	 12	0	0	100
cnjcoo	8	 8	0	0	100
cnjadv	4	 4	0	0	100
vbmod	0	 0	0	0	100
vbhaver	0	 0	0	0	100
vaux	0	 0	0	0	100
rel	0	 0	0	0	100
preadv	0	 0	0	0	100
ij	0	 0	0	0	100
guio	0	 0	0	0	100
cm	0	 0	0	0	100
===============================================
